query_id,video_id,video_title,query,query_type,difficulty,grounding,source,notes,split
982V2ituTdc_0,982V2ituTdc,How to Improve LLM Apps with Error Analysis,what is error analysis in ai,exact,grounded,"Error analysis definition — ""Error analysis, which consists of identifying a machine learning model's most severe mistakes""",synthetic,,validation
982V2ituTdc_1,982V2ituTdc,How to Improve LLM Apps with Error Analysis,why llm outputs change each time same question,exact,medium,"LLM unpredictability — ""large language models are probabilistic systems""",synthetic,,validation
982V2ituTdc_2,982V2ituTdc,How to Improve LLM Apps with Error Analysis,how is error analysis not the same for LLM vs normal ai,exact,hard,"Manual review process — ""we need to refine this error analysis process specifically for large language models""",synthetic,,validation
982V2ituTdc_3,982V2ituTdc,How to Improve LLM Apps with Error Analysis,steps to do error analysis for ai app,procedural,grounded,"LLM review workflow — ""five-step workflow... curate 30 to 100 realistic inputs... manually review these outputs""",synthetic,,validation
982V2ituTdc_4,982V2ituTdc,How to Improve LLM Apps with Error Analysis,add auto checks for failed cases in LLM error cycle,procedural,medium,"Automated checks — ""create automated checks or evaluations for each of these failure modes""",synthetic,,validation
982V2ituTdc_5,982V2ituTdc,How to Improve LLM Apps with Error Analysis,"stuck on putting error subtypez, is there fast shortcut?",procedural,hard,"Error annotation process — ""write open-ended notes on model mistakes""",synthetic,,validation
5ezFcy9CIWE_0,5ezFcy9CIWE,Persistent Homology | Introduction & Python Example Code,persistent homology definition,exact,grounded,"Persistent homology basics — ""the big idea behind persistent homology is finding the core topological features of your data""",synthetic,,validation
5ezFcy9CIWE_1,5ezFcy9CIWE,Persistent Homology | Introduction & Python Example Code,h0 h1 h2 homology groups meaning,exact,medium,"Homology groups and holes — ""when we talk about homology we are essentially just talking about holes""",synthetic,,validation
5ezFcy9CIWE_2,5ezFcy9CIWE,Persistent Homology | Introduction & Python Example Code,persistance diagram axes units?,exact,hard,"Persistence diagram plotting — ""the x axis of this plot indicates the radius at which a hole appeared...y- Axis we have the radius at which that hole disappeared""",synthetic,,validation
5ezFcy9CIWE_3,5ezFcy9CIWE,Persistent Homology | Introduction & Python Example Code,can wasserstein distances actually predict market crashes?,conceptual,hard,"TDA/Market prediction — ""did homology changes predict the crash of 2020 well I wouldn't go that far""",synthetic,,validation
5ezFcy9CIWE_4,5ezFcy9CIWE,Persistent Homology | Introduction & Python Example Code,persistent homology python code with market data,procedural,grounded,"Python example setup — ""start by importing python libraries...notable libraries here are y Finance...riper and pum modules...pyit TDA ecosystem""",synthetic,,validation
5ezFcy9CIWE_5,5ezFcy9CIWE,Persistent Homology | Introduction & Python Example Code,how big should my time window be for reliable persistent homology (finance),procedural,medium,"Sliding window processing — ""we start by initializing this object that constructs simpal complexes...Define a Time window size""",synthetic,,validation
3PIqhdRzhxE_0,3PIqhdRzhxE,Local LLM Fine-tuning on Mac (M1 16GB),What is the mlx library used in local LLM fine-tuning on Mac?,exact,grounded,"MLX definition — ""mlx is a python Library developed by Apple's machine learning research team""",synthetic,,validation
3PIqhdRzhxE_1,3PIqhdRzhxE,Local LLM Fine-tuning on Mac (M1 16GB),7b param lora on mac m1 8gb any chance or need for swapfile?,exact,hard,"Memory requirements — ""my Mac Mini M1 from 2020 with only 16 GB of memory am capable of fine-tuning a large language model locally""",synthetic,,validation
3PIqhdRzhxE_2,3PIqhdRzhxE,Local LLM Fine-tuning on Mac (M1 16GB),fine-tuning small vs big Macs is it worth it?,conceptual,medium,"Mac vs GPU cluster — ""My impression was pulling this off is something that would take several hours...that was until I discovered the mlx python library""",synthetic,,validation
3PIqhdRzhxE_3,3PIqhdRzhxE,Local LLM Fine-tuning on Mac (M1 16GB),How do I set up environment for mlx finetuning on mac m1?,procedural,grounded,"Environment setup — ""let's create a python environment that allows us to run the code""",synthetic,,validation
3PIqhdRzhxE_4,3PIqhdRzhxE,Local LLM Fine-tuning on Mac (M1 16GB),"mlx training crashes on batch size 4, running out of memory",procedural,medium,"Running training — ""So I'm going to execute this script but if my computer blows up...""",synthetic,,validation
3PIqhdRzhxE_5,3PIqhdRzhxE,Local LLM Fine-tuning on Mac (M1 16GB),"after mlx finetune on apple, how save full model and move to hf hub?",procedural,hard,"Saving adapters — ""this adapters. npz file will appear in the repository these are the low weights learned during training""",synthetic,,validation
MX7ymkYGiZ0_0,MX7ymkYGiZ0,The Wavelet Transform | Introduction & Example Code,what is a wavelet transform,exact,grounded,"Wavelet definition — ""wavelet is simply a wave-like oscillation that's kind of localized""",synthetic,,validation
MX7ymkYGiZ0_1,MX7ymkYGiZ0,The Wavelet Transform | Introduction & Example Code,continuous vs discrete wavelets difference,exact,medium,"Types of wavelet transforms — ""two basic kinds of wavelets there's the continuous wavelet transform and the discrete wavelet transform""",synthetic,,validation
MX7ymkYGiZ0_2,MX7ymkYGiZ0,The Wavelet Transform | Introduction & Example Code,b param meaning in gauss wavelet eqn,exact,hard,"Wavelet parameter names — ""parameter a in our first derivative of the gaussian function""",synthetic,,validation
MX7ymkYGiZ0_3,MX7ymkYGiZ0,The Wavelet Transform | Introduction & Example Code,why use wavelets instead of fourier,conceptual,grounded,"Advantages of wavelets — ""wavelet can not only extract the local spectral information""",synthetic,,validation
